statename,rank,countryd,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Arkansas,24,Switzerland,4.7,20.22,43.13,28.83,0.0616,0.2657,0.5452,0.3683,-33.15
Arkansas,25,Indonesia,29.86,29.25,32.35,27.78,0.3918,0.3844,0.4089,0.3548,-14.13
California,0,World,381068.95,403808.04,408247.06,410182.75,16.8021,17.137,18.159,18.7486,0.47
California,0,Top 25,349880.78,372650.83,382588.65,383677.91,91.8156,92.2842,93.715,93.5383,0.28
California,1,China,130447.51,137888.96,143619.74,144017.61,34.232,34.1472,35.1796,35.1106,0.28
California,2,Mexico,36256.67,41339.39,45085.78,46349.31,9.5145,10.2374,11.0437,11.2997,2.8
California,3,Japan,38383.56,38303.53,38477.81,41335.34,10.0726,9.4856,9.4251,10.0773,7.43
California,4,Canada,26385.12,27908.14,27862.22,27784.56,6.924,6.9112,6.8248,6.7737,-0.28
California,5,Malaysia,11352.41,14055.19,16816.59,16472.78,2.9791,3.4807,4.1192,4.016,-2.04
California,6,"Korea, South",13044.21,14919.67,15390.17,14021.54,3.4231,3.6947,3.7698,3.4184,-8.89
California,7,Taiwan,10930.56,12067.12,12525.59,12328.58,2.8684,2.9883,3.0681,3.0056,-1.57
California,8,Germany,12993.28,12062.44,12706.4,11204.71,3.4097,2.9872,3.1124,2.7316,-11.82
California,9,Vietnam,6710.84,8081.53,8833.97,10927.59,1.7611,2.0013,2.1639,2.6641,23.7
California,10,Thailand,9050.16,9415.9,10042.85,10078.75,2.3749,2.3318,2.46,2.4571,0.36
California,11,United Kingdom,3045.84,3430.3,4561.84,5500.67,0.7993,0.8495,1.1174,1.341,20.58
California,12,Indonesia,4920.11,4944.78,4687.69,4675.32,1.2911,1.2245,1.1482,1.1398,-0.26
California,13,Saudi Arabia,8804.97,10686.52,6160.77,4251.41,2.3106,2.6464,1.5091,1.0365,-30.99
California,14,Singapore,3919.36,3845.84,4185.03,4185.75,1.0285,0.9524,1.0251,1.0205,0.02
California,15,Italy,3041.24,3223.62,3652.03,4011.25,0.7981,0.7983,0.8946,0.9779,9.84
California,16,France,2958.54,3473.93,3629.25,3871.03,0.7764,0.8603,0.889,0.9437,6.66
California,17,India,3365.11,4397.27,3855.63,3632.11,0.8831,1.089,0.9444,0.8855,-5.8
California,18,Ecuador,7355.05,5507.69,3733.81,3504.7,1.9301,1.3639,0.9146,0.8544,-6.14
California,19,Philippines,3011.58,3599.24,3305.71,3409.07,0.7903,0.8913,0.8097,0.8311,3.13
California,20,Switzerland,2108.96,2199.57,2470.56,2705.08,0.5534,0.5447,0.6052,0.6595,9.49
California,21,Ireland,2615.41,2179.83,2382.4,2152.57,0.6863,0.5398,0.5836,0.5248,-9.65
California,22,Colombia,2865.29,2987.38,2607.62,2144.18,0.7519,0.7398,0.6387,0.5227,-17.77
California,23,Australia,1959.42,2051.58,1875.74,1814.68,0.5142,0.5081,0.4595,0.4424,-3.26
California,24,Israel,1871.91,1900.22,1998.79,1779.5,0.4912,0.4706,0.4896,0.4338,-10.97
California,25,Brazil,2483.7,2181.19,2120.66,1519.82,0.6518,0.5402,0.5195,0.3705,-28.33
Colorado,0,World,12820.8,14260.39,13509.1,12225.47,0.5653,0.6052,0.6009,0.5588,-9.5
Colorado,0,Top 25,12009.7,13570.93,12922.36,11599.4,93.6735,95.1652,95.6567,94.879,-10.24
Colorado,1,Canada,4034.3,4317.26,3210.53,2764.78,31.4669,30.2745,23.7657,22.6149,-13.88
Colorado,2,China,1924.91,2273.5,2428.3,2260.67,15.014,15.9428,17.9753,18.4915,-6.9
Colorado,3,Mexico,1352.73,1737.62,1719.49,1572.88,10.5511,12.1849,12.7284,12.8656,-8.53
Colorado,4,Germany,569.97,621.3,1083.15,699.4,4.4457,4.3568,8.0179,5.7208,-35.43
Colorado,5,Switzerland,640.1,635.63,701.96,652.02,4.9927,4.4573,5.1962,5.3333,-7.11
Colorado,6,"Korea, South",298.99,285.07,332.98,417.09,2.3321,1.9991,2.4649,3.4117,25.26
Colorado,7,Taiwan,196.63,194.93,218.17,415.33,1.5337,1.3669,1.615,3.3973,90.37
Colorado,8,Australia,393.3,543.04,558.06,406,3.0677,3.808,4.131,3.3209,-27.25
Colorado,9,France,171.93,210.07,300.26,232.91,1.341,1.4731,2.2226,1.9051,-22.43
Colorado,10,Italy,224.73,265.86,244.78,224.69,1.7529,1.8643,1.8119,1.8379,-8.2
Colorado,11,United Kingdom,276.34,307.69,260.46,215.89,2.1554,2.1577,1.928,1.7659,-17.11
Colorado,12,India,376.42,311.46,214.31,209.37,2.936,2.1841,1.5864,1.7126,-2.31
Colorado,13,Japan,172.44,174.44,154.93,186.94,1.345,1.2233,1.1468,1.5291,20.66
Colorado,14,Malaysia,195.1,142.05,100.74,160.23,1.5218,0.9961,0.7457,1.3106,59.05
Colorado,15,Denmark,82.07,169.32,181.6,152.83,0.6401,1.1873,1.3443,1.2501,-15.84
Colorado,16,Vietnam,174.25,171.31,197.13,145.84,1.3592,1.2013,1.4593,1.1929,-26.02
Colorado,17,Thailand,93.84,105.42,79.83,121.93,0.7319,0.7392,0.5909,0.9974,52.75
Colorado,18,Sweden,105.15,95.71,89.78,117.19,0.8201,0.6712,0.6646,0.9586,30.53
Colorado,19,Slovenia,97.45,131.67,129.98,110.5,0.7601,0.9233,0.9622,0.9038,-14.99
Colorado,20,Spain,120.26,161.45,146.5,109.54,0.938,1.1321,1.0844,0.896,-25.23
Colorado,21,Austria,193.1,173.26,168.53,108.96,1.5061,1.215,1.2476,0.8912,-35.35
Colorado,22,Netherlands,155.93,237.28,198.74,101.12,1.2163,1.6639,1.4711,0.8271,-49.12
Colorado,23,Norway,59.68,184.35,107.91,86.02,0.4655,1.2928,0.7988,0.7036,-20.29
Colorado,24,Philippines,62.08,74.99,56.32,80.08,0.4842,0.5259,0.4169,0.655,42.2
Colorado,25,Israel,38,46.25,37.92,47.21,0.2964,0.3243,0.2807,0.3861,24.5
Connecticut,0,World,21563.73,23918.78,25967.88,21319.13,0.9508,1.0151,1.1551,0.9745,-17.9
Connecticut,0,Top 25,18696.03,21424.49,23504.88,19447.9,86.7013,89.5718,90.5152,91.2228,-17.26
Connecticut,1,Canada,3773.7,3504.33,3451.82,2902.09,17.5002,14.6509,13.2926,13.6126,-15.93
Connecticut,2,United Kingdom,1465.97,1692.64,5550.85,2549.08,6.7983,7.0766,21.3758,11.9568,-54.08
Connecticut,3,Mexico,1016.23,2576.77,2479.57,2493.32,4.7127,10.773,9.5486,11.6952,0.55
Connecticut,4,China,2776.55,2985.85,3031.09,2307.16,12.876,12.4833,11.6725,10.822,-23.88
Connecticut,5,Germany,1518.62,1857.62,1935.73,1446.24,7.0425,7.7664,7.4543,6.7838,-25.29
Connecticut,6,Ireland,600.25,123.97,260.02,1152.68,2.7836,0.5183,1.0013,5.4068,343.3
