statename,coor1,rank,countryd,coor2,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Missouri,"[-92.515869140625,38.151837403006766]",10,France,"[2.28515625,47.15984001304432]",196.23,170.94,141.74,207.42,1.5143,1.2046,1.0385,1.4885,46.34
Colorado,"[-105.677490234375,39.198205348894795]",14,Philippines,"[122.87109375,11.39387923296741]",195.73,200.04,162.26,142.56,2.2906,2.3918,2.0409,1.8806,-12.14
Puerto Rico,"[-66.533203125,18.2397859708389]",23,Panama,"[-80.26611328125,8.722218306198739]",195.47,85.21,126.1,103.71,0.979,0.4201,0.6249,0.5215,-17.76
Kansas,"[-98.19580078125,38.53957267203905]",12,Taiwan,"[120.9375,23.725011735951796]",195.15,184.89,164.7,167.59,1.5664,1.538,1.5406,1.6461,1.76
South Carolina,"[-80.9197998046875, 33.904616008362325]",15,Colombia,"[-73.037109375,3.8204080831949407]",195.13,204.42,424.9,435.49,0.7408,0.6866,1.3711,1.3904,2.49
Pennsylvania,"[-78.28857421875,41.09591205639546]",24,Thailand,"[101.35986328125,15.813395760460585]",194.48,170.65,185.61,257.7,0.4723,0.4223,0.4707,0.7063,38.84
Arkansas,"[-92.28515625,35.06597313798418]",4,Japan,"[138.8671875,36.4566360115962]",193.64,330.21,531.52,280.68,2.7041,4.8092,9.0556,4.9177,-47.19
South Carolina,"[-80.9197998046875, 33.904616008362325]",24,Russia,"[97.03125,61.77312286453146]",191.48,323.44,292.72,266.08,0.7269,1.0863,0.9446,0.8495,-9.1
Michigan,"[-84.638671875,44.84029065139799]",19,Taiwan,"[120.9375,23.725011735951796]",190.91,247.03,249.08,298.59,0.3214,0.4291,0.4617,0.5457,19.88
Minnesota,"[-94.02099609375,46.30899569419859]",20,India,"[78.662109375,22.228090416784486]",189.1,314.39,213.71,194,0.9109,1.4693,1.0677,1.0103,-9.22
Michigan,"[-84.638671875,44.84029065139799]",17,Spain,"[-3.076171875,40.27952566881291]",186.55,216.74,329.59,305.13,0.3141,0.3765,0.6109,0.5577,-7.42
Oklahoma,"[-97.49267578125,35.65729624809628]",10,Saudi Arabia,"[46.23046874999999,24.206889622398023]",185.58,122.91,104.86,95.59,2.6818,1.9484,1.9971,1.8936,-8.84
Colorado,"[-105.677490234375,39.198205348894795]",17,Brazil,"[-51.240234375,-9.44906182688142]",185.13,167.4,98.35,102.55,2.1665,2.0015,1.2371,1.3529,4.27
Alabama,"[-86.3092803955078,32.36662317982762]",8,United Arab Emirates,"[54.4921875,23.75518176611264]",184.06,225.53,283.43,468.07,0.9536,1.1595,1.4664,2.292,65.14
